metric,baseline_03,final_03b,delta
test_harrell_c_index,0.8784812566252289,0.862787207973678,-0.015694048651550885
mean_within_patient_spearman,0.43866666666666665,0.8226666666666667,0.384
top1_candidate_accuracy,0.5133333333333333,0.76,0.2466666666666667
pairwise_candidate_ranking_accuracy,0.6877777777777778,0.8833333333333333,0.19555555555555548
global_hidden_truth_spearman,0.9351947644299012,0.9083178564384901,-0.02687690799141118
global_hidden_truth_pearson,0.9636690701811655,0.9416687753922589,-0.022000294788906638
